Date,SARIMA_Forecast,SARIMA_Lower_CI,SARIMA_Upper_CI,LSTM_Forecast
2026-01-01,4056526.4118364705,3766826.864448026,4346225.959224915,4100249.877762831
2026-02-01,4011915.92185773,3622102.8486196566,4401728.995095803,4165198.947689494
2026-03-01,3536945.7573277173,3128477.3639096664,3945414.150745768,3686900.8856813572
2026-04-01,3348133.248473333,2935693.555113187,3760572.9418334793,3386052.19002488
2026-05-01,3197629.3754478856,2784325.410082843,3610933.340812928,3283524.380904458
2026-06-01,3540150.7117325305,3126657.7883477677,3953643.6351172933,3706890.141252104
2026-07-01,4371639.789538722,3958105.5126000326,4785174.0664774105,4615291.257021199
2026-08-01,4990710.238078384,4577166.908925124,5404253.567231643,5265144.255064539
2026-09-01,4575002.097900452,4161456.787140249,4988547.408660656,4926080.662597964
2026-10-01,3449956.033157717,3036410.2886023386,3863501.7777130953,3580357.4764663107
2026-11-01,3180950.1001420827,2767404.260624036,3594495.939660129,3273610.263958353
2026-12-01,3610188.4422019417,3196642.581895483,4023734.3025084003,3529534.7042129235
2027-01-01,4088078.1425624914,3622380.2534672967,4553776.031657686,3992637.016232838
2027-02-01,4030723.566219221,3526706.895327137,4534740.237111305,4141761.266489544
2027-03-01,3547104.1515242564,3035081.5177674275,4059126.7852810854,3736102.40140551
2027-04-01,3354184.7708859327,2840426.184756165,3867943.3570157005,3389683.0458966987
2027-05-01,3201020.364684208,2686882.5407096385,3715158.188658777,3403587.572803627
2027-06-01,3541621.850978901,3027401.0448144358,4055842.6571433665,3952590.314850207
2027-07-01,4376330.294070254,3862091.3239411605,4890569.264199348,5003854.1333310995
2027-08-01,4992001.27383896,4477758.327495703,5506244.220182217,5757349.222708946
2027-09-01,4574619.221490911,4060375.4047129643,5088863.038268859,5488035.097967343
2027-10-01,3447875.6800928,2933631.6727669328,3962119.687418667,3796153.3626516606
2027-11-01,3178238.728968924,2663994.6799299456,3692482.778007902,3388465.014487466
2027-12-01,3607259.6930245487,3093015.634854093,4121503.751195004,3496935.316455666
2028-01-01,4086136.9837045018,3527288.868195086,4644985.099213918,3868097.4216703544
2028-02-01,4029566.1358984807,3437028.206447212,4622104.065349749,4044147.9731827886
2028-03-01,3546478.9135873043,2946818.368940627,4146139.4582339814,3758976.811695883
2028-04-01,3353812.2350832075,2752603.7264233865,3955020.7437430285,3435270.051889127
2028-05-01,3200811.5889722263,2599264.7447223454,3802358.433222107,3616150.2778686956
2028-06-01,3541531.280342805,2939910.3959450293,4143152.164740581,4482389.208960325
2028-07-01,4376041.367944073,3774404.276526117,4977678.459362028,5972629.595550739
2028-08-01,4991921.753648132,4390281.114386202,5593562.392910062,7102913.704898344
2028-09-01,4574642.81397821,3973001.398055417,5176284.229901004,6944616.464368221
2028-10-01,3448003.840460069,2846362.2545174565,4049645.4264026815,4255455.624051173
2028-11-01,3178405.7609858154,2576764.1378239254,3780047.3841477055,3566790.546146769
2028-12-01,3607440.1156685916,3005798.4843589757,4209081.7469782075,3539562.5122229652
2029-01-01,4086256.566724559,3446169.188277444,4726343.945171674,3781926.182457059
2029-02-01,4029637.438122319,3360010.451602908,4699264.42464173,3950915.3234350667
2029-03-01,3546517.4306742987,2870596.0999013605,4222438.761447237,3819076.1404386545
2029-04-01,3353835.184728718,2676543.7542461986,4031126.615211237,3854926.1533313678
2029-05-01,3200824.450360464,2523233.458982403,3878415.441738525,4362488.441580075
2029-06-01,3541536.8598434003,2863880.308823884,4219193.410862916,6396233.472804827
2029-07-01,4376059.166890981,3698388.264961741,5053730.06882022,10210332.014797589
2029-08-01,4991926.652394525,4314252.608927432,5669600.695861617,14643699.4387736
2029-09-01,4574641.360592256,3896966.629408513,5252316.091775999,16765382.556175228
2029-10-01,3447995.945296212,2770321.0635635154,4125670.8270289088,6725615.514863274
2029-11-01,3178395.4711809168,2500720.556491336,3856070.3858704977,4759817.972397327
2029-12-01,3607429.000950255,2929754.0790460347,4285103.922854475,4678344.784627575
