Date,Predicted_Usage,Lower_CI,Upper_CI
2026-01-01,4056526.4118364705,3766826.864448026,4346225.959224915
2026-02-01,4011915.92185773,3622102.8486196566,4401728.995095803
2026-03-01,3536945.7573277173,3128477.3639096664,3945414.150745768
2026-04-01,3348133.248473333,2935693.555113187,3760572.9418334793
2026-05-01,3197629.3754478856,2784325.410082843,3610933.340812928
2026-06-01,3540150.7117325305,3126657.7883477677,3953643.6351172933
2026-07-01,4371639.789538722,3958105.5126000326,4785174.0664774105
2026-08-01,4990710.238078384,4577166.908925124,5404253.567231643
2026-09-01,4575002.097900452,4161456.787140249,4988547.408660656
2026-10-01,3449956.033157717,3036410.2886023386,3863501.7777130953
2026-11-01,3180950.1001420827,2767404.260624036,3594495.939660129
2026-12-01,3610188.4422019417,3196642.581895483,4023734.3025084003
